file,plan,scale_value,marks,line_len_px
Projet Soumission 2025\S-1311 - IGWM Boisbriand\S-1311 IGWM Boisbriand (15-Janvier-2025)\S-1311 IGWM Boisbriand (15-Janvier-2025).qpl,24248-IGWM Boisbriand-Electrical-ÉPPermis&Soumission (2025-01-09) (1) - 2,0,0,0.0
Projet Soumission 2025\S-1311 - IGWM Boisbriand\S-1311 IGWM Boisbriand (15-Janvier-2025)\S-1311 IGWM Boisbriand (15-Janvier-2025).qpl,24248-IGWM Boisbriand-Electrical-ÉPPermis&Soumission (2025-01-09) (1) - 3,0,268,0.0
Projet Soumission 2025\S-1311 - IGWM Boisbriand\S-1311 IGWM Boisbriand (15-Janvier-2025)\S-1311 IGWM Boisbriand (15-Janvier-2025).qpl,24248-IGWM Boisbriand-Electrical-ÉPPermis&Soumission (2025-01-09) (1) - 4,"0,125",400,0.0
Projet Soumission 2025\S-1311 - IGWM Boisbriand\S-1311 IGWM Boisbriand (15-Janvier-2025)\S-1311 IGWM Boisbriand (15-Janvier-2025).qpl,24248-IGWM Boisbriand-Electrical-ÉPPermis&Soumission (2025-01-09) (1) - 5,"0,125",366,0.0
Projet Soumission 2025\S-1311 - IGWM Boisbriand\S-1311 IGWM Boisbriand (15-Janvier-2025)\S-1311 IGWM Boisbriand (15-Janvier-2025).qpl,24248-IGWM Boisbriand-Electrical-ÉPPermis&Soumission (2025-01-09) (1) - 5 1,"0,25",15,0.0
Projet Soumission 2025\S-1311 - IGWM Boisbriand\S-1311 IGWM Boisbriand (15-Janvier-2025)\S-1311 IGWM Boisbriand (15-Janvier-2025).qpl,24248-IGWM Boisbriand-Electrical-ÉPPermis&Soumission (2025-01-09) (1) - 6,0,0,0.0
Projet Soumission 2025\S-1311 - IGWM Boisbriand\S-1311 IGWM Boisbriand (15-Janvier-2025)\S-1311 IGWM Boisbriand (15-Janvier-2025).qpl,24248-IGWM Boisbriand-Electrical-ÉPPermis&Soumission (2025-01-09) (1) - 7,0,0,0.0
Projet Soumission 2025\S-1325 - Loft Impérial Montréal\S-1325 Loft Impérial Térasse (22-Janvier-2025)\S-1325 Loft Impérial Térasse (22-Janvier-2025).qpl,PL 24273 E SOUM - 1,0,0,0.0
Projet Soumission 2025\S-1325 - Loft Impérial Montréal\S-1325 Loft Impérial Térasse (22-Janvier-2025)\S-1325 Loft Impérial Térasse (22-Janvier-2025).qpl,PL 24273 E SOUM - 2,0,0,0.0
Projet Soumission 2025\S-1325 - Loft Impérial Montréal\S-1325 Loft Impérial Térasse (22-Janvier-2025)\S-1325 Loft Impérial Térasse (22-Janvier-2025).qpl,PL 24273 E SOUM - 3,0,0,0.0
Projet Soumission 2025\S-1325 - Loft Impérial Montréal\S-1325 Loft Impérial Térasse (22-Janvier-2025)\S-1325 Loft Impérial Térasse (22-Janvier-2025).qpl,PL 24273 E SOUM - 4,0,46,0.0
Projet Soumission 2025\S-1325 - Loft Impérial Montréal\S-1325 Loft Impérial Térasse (22-Janvier-2025)\S-1325 Loft Impérial Térasse (22-Janvier-2025).qpl,PL 24273 E SOUM - 5,100,64,0.0
Projet Soumission 2025\S-1325 - Loft Impérial Montréal\S-1325 Loft Impérial Térasse (22-Janvier-2025)\S-1325 Loft Impérial Térasse (22-Janvier-2025).qpl,ADD 24273 Addenda E-01 - 3,100,67,0.0
Projet Soumission 2025\S-1325 - Loft Impérial Montréal\S-1325 Loft Impérial Térasse (22-Janvier-2025)\S-1325 Loft Impérial Térasse (22-Janvier-2025).qpl,ADD 24273 Addenda E-01 - 1,0,0,0.0
Projet Soumission 2025\S-1325 - Loft Impérial Montréal\S-1325 Loft Impérial Térasse (22-Janvier-2025)\S-1325 Loft Impérial Térasse (22-Janvier-2025).qpl,ADD 24273 Addenda E-01 - 2,0,0,0.0
Projet Soumission 2025\S-1330 - Bâtiment Sanitaire Boucherville\S-1330 Bâtiment Sanitaire Boucherville (27-Janvier-2025)\S-1330 Bâtiment Sanitaire Boucherville (27-Janvier-2025).qpl,09 Plans électricité - 1,0,0,0.0
Projet Soumission 2025\S-1330 - Bâtiment Sanitaire Boucherville\S-1330 Bâtiment Sanitaire Boucherville (27-Janvier-2025)\S-1330 Bâtiment Sanitaire Boucherville (27-Janvier-2025).qpl,09 Plans électricité - 2,0,0,0.0
Projet Soumission 2025\S-1330 - Bâtiment Sanitaire Boucherville\S-1330 Bâtiment Sanitaire Boucherville (27-Janvier-2025)\S-1330 Bâtiment Sanitaire Boucherville (27-Janvier-2025).qpl,09 Plans électricité - 3,0,0,0.0
Projet Soumission 2025\S-1330 - Bâtiment Sanitaire Boucherville\S-1330 Bâtiment Sanitaire Boucherville (27-Janvier-2025)\S-1330 Bâtiment Sanitaire Boucherville (27-Janvier-2025).qpl,09 Plans électricité - 4,150,0,0.0
Projet Soumission 2025\S-1330 - Bâtiment Sanitaire Boucherville\S-1330 Bâtiment Sanitaire Boucherville (27-Janvier-2025)\S-1330 Bâtiment Sanitaire Boucherville (27-Janvier-2025).qpl,09 Plans électricité - 5,0,1,0.0
Projet Soumission 2025\S-1330 - Bâtiment Sanitaire Boucherville\S-1330 Bâtiment Sanitaire Boucherville (27-Janvier-2025)\S-1330 Bâtiment Sanitaire Boucherville (27-Janvier-2025).qpl,09 Plans électricité - 6,50,36,0.0
Projet Soumission 2025\S-1336 - Éclairage Ext 2000 McGill College\S-1336 Éclairage Extérieur 2000 McGill (29-Janvier-2025)\S-1336 Éclairage Extérieur 2000 McGill (29-Janvier-2025).qpl,20241220_Elec_Pour soumissions - 1,0,0,0.0
Projet Soumission 2025\S-1336 - Éclairage Ext 2000 McGill College\S-1336 Éclairage Extérieur 2000 McGill (29-Janvier-2025)\S-1336 Éclairage Extérieur 2000 McGill (29-Janvier-2025).qpl,20250211_Plans_Élec_Pour addenda 01 - 1,0,0,0.0
Projet Soumission 2025\S-1336 - Éclairage Ext 2000 McGill College\S-1336 Éclairage Extérieur 2000 McGill (29-Janvier-2025)\S-1336 Éclairage Extérieur 2000 McGill (29-Janvier-2025).qpl,20241220_Elec_Pour soumissions - 3,"0,0625",24,0.0
